Company Name,Symbol,Share Volume,Trade volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Traded Price (Rs.),Change (Rs.),Change Percentage (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2655,6,66.90,66.40,66.40,63.00,63.00,-3.90,-5.83
ABANS FINANCE PLC,AFSL.N0000,966,3,18.50,18.00,18.00,17.50,17.80,-0.70,-3.78
ACCESS ENGINEERING PLC,AEL.N0000,2874770,487,18.40,18.10,18.10,17.50,17.70,-0.70,-3.80
ACL CABLES PLC,ACL.N0000,11678,35,38.00,37.70,38.00,36.10,37.80,-0.20,-0.53
ACL PLASTICS PLC,APLA.N0000,124,4,118.10,118.20,118.20,118.00,118.20,0.10,0.08
ACME PRINTING & PACKAGING PLC,ACME.N0000,25536,5,4.20,4.30,4.30,4.10,4.20,0.00,0.00
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,6427,7,24.00,24.00,24.00,23.40,23.90,-0.10,-0.42
AITKEN SPENCE PLC,SPEN.N0000,31622,40,44.00,43.60,43.80,42.60,43.00,-1.00,-2.27
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6,4,45.00,45.00,45.20,45.00,45.00,0.00,0.00
ALUMEX PLC,ALUM.N0000,34391,19,12.00,12.00,12.00,11.80,11.80,-0.20,-1.67
AMANA BANK PLC,ABL.N0000,11421,3,2.80,2.70,2.70,2.70,2.70,-0.10,-3.57
AMANA TAKAFUL  PLC,ATL.N0000,2525,4,5.10,5.10,5.30,5.00,5.00,-0.10,-1.96
AMANA TAKAFUL LIFE PLC,ATLL.N0000,64,1,6.80,7.40,7.40,7.40,6.80,0.00,0.00
AMAYA LEISURE  PLC,CONN.N0000,192,6,32.90,31.40,32.90,31.40,31.80,-1.10,-3.34
AMBEON CAPITAL PLC,TAP.N0000,100,1,4.50,4.70,4.70,4.70,4.70,0.20,4.44
AMBEON HOLDINGS PLC,GREG.N0000,301160,102,12.30,12.30,12.30,11.90,12.00,-0.30,-2.44
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,458300,43,1.00,0.90,1.00,0.90,0.90,-0.10,-10.00
ARPICO FINANCE COMPANY PLC,ARPI.N0000,38,6,148.30,150.00,150.00,145.10,148.30,0.00,0.00
ASIA CAPITAL PLC,ACAP.N0000,26265,25,7.30,7.50,7.50,7.00,7.00,-0.30,-4.11
ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,594529,49,2.20,2.10,2.20,2.10,2.10,-0.10,-4.55
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,800,5,37.70,37.00,38.00,36.80,38.00,0.30,0.80
ASIRI  SURGICAL HOSPITAL PLC,AMSL.N0000,5000,8,10.20,10.30,10.30,10.00,10.00,-0.20,-1.96
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1025,3,22.40,22.90,22.90,22.40,22.40,0.00,0.00
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,8,1,429.90,439.90,439.90,439.90,429.90,0.00,0.00
B P P L HOLDINGS PLC,BPPL.N0000,41480,20,10.80,10.60,10.90,10.50,10.90,0.10,0.93
BAIRAHA FARMS PLC,BFL.N0000,48747,38,99.00,100.00,100.00,98.00,100.00,1.00,1.01
BALANGODA PLANTATIONS PLC,BALA.N0000,18800,10,10.90,10.90,10.90,10.80,10.80,-0.10,-0.92
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,3994,10,6.90,6.40,6.40,6.20,6.30,-0.60,-8.70
BERUWALA RESORTS PLC,BERU.N0000,1,1,0.60,0.70,0.70,0.70,0.60,0.00,0.00
BIMPUTH FINANCE PLC,BLI.N0000,1,1,18.00,18.00,18.00,18.00,18.00,0.00,0.00
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,10000,1,0.30,0.30,0.30,0.30,0.30,0.00,0.00
